drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes,sources_count
Hips-Lead-Torso Slingshot Breakdown,Hip Rotation,1 - Diagnosis,3,camera,"Bauer film note: back knee rolls downward to keep the hips in play until footstrike, allowing the hips to rotate and lead the torso — count the frames the hips are stopped while the torso keeps turning. Also shows more efficient blocking.",1 clip,Trevor Bauer (BauerOutage film breakdown),https://x.com/BauerOutage/status/1163669225061388289,,Phase 3,4,"His own diagnostic of the exact fault. relevance: directly addresses hips-lead-torso sequencing AND lead-leg block (efficient blocking) — Landon's two biggest gaps",1
\"Using Your Legs\" — Ground Reaction Forces and Energy Flow,Hip Rotation,1 - Diagnosis,2,none,"Explains how a good lead leg block produces high ground reaction forces and redirects back-leg momentum up the chain to torso and arm; frames why a leaking back hip + soft front leg bleeds velocity. Conceptual primer for the block.",reference read,Tread Athletics blog,https://treadathletics.com/energy-flow/,,Phase 3,4,"relevance: explains why Landon's leaked back hip + open front leg = no energy transfer to the arm (push, not whip)",1
Drive Leg Mechanics to Increase Velocity & Reduce Arm Stress,Hip Rotation,1 - Diagnosis,2,"camera, mound","Breaks down rear-glute/hamstring drive (pull the ground back like a sprinter) vs quad push; back-hip drive that reduces arm stress.",1 video,Tread Athletics YouTube,https://www.youtube.com/watch?v=1V5CmleRaoI,,Phase 3,4,"relevance: trains back-hip DRIVE (glute/ham) to stop the leak; lower arm stress matters for Landon's flexor-pronator history",1
Problem Solving Your Lower Half Pitching Mechanics,Hip Rotation,1 - Diagnosis,3,"camera, mound","Cornerstone lower-half article: rear-glute drive, step-back drills, rotate vs lunge off the back leg, and front-leg brace in response to hip rotation.",reference read,Tread Athletics blog,https://treadathletics.com/back-leg-mechanics/,,Phase 3,5,"relevance: covers Landon's whole lower-half chain — back-hip drive, rotate-not-lunge, and the lead-leg brace",1
The \"Drift\" — How to Shift Your Weight Like a Pro,Hip Rotation,1 - Diagnosis,2,"camera, mound","Article on shifting weight into the back hip correctly so the lower half can sequence; addresses drifting too early and losing the load.",reference read,Tread Athletics blog,https://treadathletics.com/the-drift/,,Phase 3,3,"relevance: fixes early drift/leak that opens Landon's front side before the separation window",1
Re-thinking How the Back Hip Works Into Landing,Hip Rotation,1 - Diagnosis,2,none,"Reframes the unload: the pelvis (middle of the body) drives rotation into landing, not the rear femur slamming into IR. Better mental model for clearing the back hip.",reference read,Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7429357491495963947,,Phase 3,3,"relevance: corrects how Landon should think about the back-hip unload so it rotates/clears instead of leaking",1
How Strength and Mobility Impact the Pitching Stride (article),Hip Rotation,1 - Diagnosis,3,none,"Cressey on the posterior chain as a counterbalance: engage glutes/hamstrings instead of swinging the front leg into landing — start like a one-leg squat to feel glute/ham, then lateral lunge to keep adductors controlling the pelvis.",reference read,Eric Cressey,https://ericcressey.com/how-strength-and-mobility-impact-the-pitching-stride/,,Phase 4,5,"Lead leg as counter-balance, not the primary power source. relevance: the strength-coach blueprint for the lead-leg block — stop swinging the front leg open, use the posterior chain to control the stride",1
Analyzing Front and Back Leg Ground Forces,Hip Rotation,1 - Diagnosis,3,Force plates (research),"Research article: stride-leg ground reaction force during arm-cocking/acceleration strongly correlates with ball velocity (r-squared 0.45-0.61); back-leg 'drive' does NOT significantly correlate. Peak stride-leg force in arm-cocking is the best velocity predictor.",reference read,Driveline Blog (Research),https://www.drivelinebaseball.com/2016/08/analyzing-front-and-back-leg-ground-forces-in-pitchers-using-force-plates/,,Phase 4,5,"Evidence base for prioritizing the lead-leg block over back-leg push. relevance: quantifies why fixing Landon's front-side brace (not just back-leg drive) is what unlocks velocity",1
"Range of Motion, Hip-Shoulder Separation & Kinematics (study)",Hip Rotation,1 - Diagnosis,4,Motion capture (research),"Open-access study (IJSPT, PMC7727427): hip-shoulder separation at foot contact, peak pelvis velocity, and the timing of peak pelvis velocity each individually predict peak trunk velocity; peak trunk velocity predicts ball velocity. Pelvis peaks ~12% of stride-to-release, trunk ~36%.",reference read,Open-Access Research (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC7727427/,,Phase 3,5,"Core kinematic-sequencing evidence (pelvis->trunk->arm timing). relevance: explains EXACTLY Landon's problem — separation at foot contact + pelvis-leading-trunk timing drives velocity; his early-open pattern collapses this sequence",1
Forearm Wall Slide with Band,Arm Path,2 - Pattern,2,"resistance band, wall","Forearms on wall shoulder-width, elbows 90deg, slide up and out without shrugging; band cues serratus/lower-trap to drive scapular upward rotation so the upper trap doesn't dominate.",2 x 8-10,Eric Cressey,https://ericcressey.com/exercises-of-the-week-serratus-wall-slides/,,Phase 3,4,"Slide up and out, no shrug — serratus + lower trap do the rotating. relevance: scap upward-rotation deficit keeps the hand from getting out front; this cleans the arm path off a braced front side",1
Serratus Wall Slide Variations,Arm Path,2 - Pattern,2,wall,"Progression of wall-slide variants (forearm, J-band, med-ball) building dynamic scapular upward rotation and serratus control for overhead positions.",2 x 8 each variation,Eric Cressey,https://www.youtube.com/watch?v=EugElNVC2BU,,Phase 3,4,"Serratus is the rotation component of scapular upward rotation. relevance: pitchers need more scap upward rotation than any other athlete — this is the arm-path prerequisite for whip not push",1
Back-to-Wall Shoulder Flexion,Arm Path,2 - Pattern,2,wall,"Stand back to wall, ribs down, raise arms overhead keeping low back flat and ribs down; exposes whether shoulder flexion comes from the scap/T-spine or a lumbar-arch compensation.",2 x 8,Eric Cressey,https://ericcressey.com/training-the-rotator-cuff-and-scapular-stabilizers-simultaneously/,,Phase 3,3,"Reach overhead without arching the back or flaring the ribs. relevance: screens/trains overhead capacity so the arm can lay back off a stacked trunk instead of an extended one",1
REAL Towel Drill / Holds / Up-Down-Out,Arm Path,2 - Pattern,3,"Towel, no ball","Driveline breakdown of the towel drill, position holds, and the up-down-out arm-action pattern — feeling the arm path and layback positions without throwing a ball.",3 x 8,Driveline YouTube,https://www.youtube.com/watch?v=-Ri-PVv4Urk,,Phase 4,4,"Constraint/feel work for arm action. relevance: grooves a whip/spiral arm path and layback to replace the push arm action",1
How to Sync the Arm into the Plane of Shoulder Rotation,Arm Path,2 - Pattern,3,"plyo ball, camera","Teaches keeping the arm IN the plane of shoulder rotation instead of finishing straight down when the torso flexes to 'throw strikes'; lets the trunk rotate the arm through in plane (spiral, not push).",3 x 5,Tread Athletics blog,https://treadathletics.com/plane-of-rotation/,,Phase 4,4,"relevance: converts Landon's push/out-of-plane finish into an in-plane spiral driven by trunk rotation",1
Plyocare Drills (video instruction),Arm Path,2 - Pattern,2,"Plyo Balls, wall","Driveline video walking through the plyocare drill set (reverse throws, pivot pickoffs, roll-ins, rockers) with technique cues for each.",8 throws each,Driveline YouTube,https://www.youtube.com/watch?v=2Os2pTFXUQg,,Phase 3,4,"Video index of the plyocare drill family. relevance: visual reference for the constraint drills that train staying closed + arm path",1
Enhancing Scapular Dynamic Control,Arm Path,2 - Pattern,3,resistance band,"Cressey video on dynamic scapular control for the overhead athlete — coordinating cuff and scap stabilizers through range rather than static holds.",2 x 8-10,Eric Cressey,https://www.youtube.com/watch?v=71m1m0hbavI,,Phase 4,4,"Train cuff and scap stabilizers together, dynamically. relevance: dynamic scap control is what lets the arm spiral cleanly instead of the shoulder flying open and pushing",1
Reverse Throws (Plyo),Arm Path,2 - Pattern,1,"Plyo Balls (450g/blue, 225g/red), wall","Kneel on throwing-arm-side knee, hold plyo ball low, counter-rotate the torso and drive the arm back through the slot to throw against a wall behind you. Trains the posterior shoulder and scap to accept high-velocity deceleration force plus T-spine mobility. Always the FIRST drill in the Driveline plyo routine.",2 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"Surfaced by Driveline (Arm Path, first drill in plyo sequence, 450g/225g balls) + Bauer (Velocity/CNS deceleration staple, https://www.youtube.com/watch?v=VIDd2yMSSnY ). High-confidence arm-care staple. relevance: builds posterior-shoulder/scap durability + layback so the arm whips instead of pushing; underload-friendly, keep <=6oz/450g soft plyo",2
Fix Your Upper Half Mechanics | Tips with Trev Ep 4,Arm Path,2 - Pattern,3,camera,"Bauer covers upper-half mechanics: glove-side discipline, trunk posture, and arm action — keeping the upper half from opening prematurely so the arm whips rather than pushes.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 4),https://www.youtube.com/watch?v=atzlM1lMLhU,,Phase 3,4,"Cue: don't mess up the upper half once the lower half is right. relevance: glove-side/trunk discipline that keeps shoulders from flying open",1
Prone 1-arm Trap Raise (Prone Y),Arm Path,3 - Loading,3,"light dumbbell, bench","Prone on incline, raise arm to a Y to strengthen lower trap and correct an anteriorly-tilted scapula; troubleshooting cues keep the upper trap quiet.",3 x 8-10 each arm,Eric Cressey,https://www.youtube.com/watch?v=jzRpo0mv328,,Phase 4,4,"Lower trap drives it; keep the upper trap from taking over. relevance: corrects anterior scap tilt so the scapula upwardly rotates and posts the arm — clean arm path prerequisite",1
Prone External Rotation,Arm Path,3 - Loading,3,"light dumbbell, bench","Prone posterior-cuff drill: externally rotate the humeral head without anterior migration; gravity pulls the scap into anterior tilt so the lower trap must fire to counteract.",3 x 8-12 each arm,Eric Cressey,https://ericcressey.com/strength-exercise-of-the-week-prone-external-rotation/,,Phase 4,4,"ER the humeral head without it sliding forward; lower trap holds the scap. relevance: posterior-cuff + scap control that protects the shoulder and supports layback in the arm path",1
Half-Kneeling Cable External Rotation - Scapular Plane,Arm Path,3 - Loading,3,"cable, half-kneeling pad","Half-kneeling cable ER in the scapular plane; the half-kneel locks the lower body so the cuff/scap work in a pitching-relevant plane with anti-rotation core demand.",3 x 10 each arm,Eric Cressey,https://www.youtube.com/watch?v=sH1qaz0WH_M,,Phase 4,4,"Work the cuff in the scapular plane, core braced. relevance: scap-plane cuff strength + anti-rotation core = the stable shoulder/trunk that lets the arm whip not push",1
One-Arm Band Rotational Row from Low Setting,Arm Path,3 - Loading,3,resistance band,"Low-to-high rotational row emphasizing getting the hand up-and-out in front; Cressey programs it as the last drill before a pitcher picks up the ball.",2 x 8 each side,Eric Cressey,https://ericcressey.com/scapular-movement-pitch-location/,,Phase 4,3,"Get up and out in front. relevance: grooves the up-and-out-front scap/arm action — the pre-throw primer for getting the hand out front instead of pushing",1
Pivot Pickoff Throws (Plyo) - forearm/arm-path,Arm Path,3 - Loading,3,plyo balls (3-6oz),"From a pickoff-style stance, throw the plyo ball with a neutral, somewhat-vertical forearm — ball faces the same way as the chest. Cleans up forward rotation in the delivery and builds medial forearm strength. Keep weights light given elbow history.",2-3 x 5,Trevor Bauer YouTube (Daily Weighted Ball Routine breakdown),https://www.youtube.com/watch?v=VIDd2yMSSnY,,Phase 4,4,"Bauer staple; arm-path/forearm framing of the pivot pickoff (cross-referenced with the Tread/Driveline Pivot Pickoff rows above). Watch forearm position with heavier balls. relevance: grooves forward rotation + arm path while strengthening flexor-pronator — protective for Landon's medial elbow; cap at 6oz",3
How to Fix a Pushing Arm Action — 7 Causes and Solutions,Arm Path,1 - Diagnosis,3,"camera, plyo balls","Diagnoses 7 causes of a pushing arm action (too-heavy balls, fake layback via elbow flexion, lost hip-shoulder separation, tight lats/triceps, injury compensation) and the fixes — keep shoulders closed at landing so the arm stays in line and whips.",reference read,Tread Athletics blog,https://treadathletics.com/7-causes-of-pushing/,,Phase 4,5,"relevance: directly addresses Landon's PUSH arm action; note the injury-compensation cause given his flexor-pronator history — keep ball weights <=6oz",1
The 3 Types of \"Muscling Up\" — How It Hurts Your Velocity,Arm Path,1 - Diagnosis,2,camera,"Explains three ways pitchers muscle up the arm (tense/push) instead of letting the trunk reflexively whip the arm into release; cue to relax the arm and let pecs/lats fire reflexively.",reference read,Tread Athletics blog,https://treadathletics.com/muscling-up/,,Phase 4,3,"relevance: names the tense/push habit Landon defaults to without a braced front side; primes the whip feel",1
Bauer + Yu Darvish Arm Action Mechanics,Arm Path,1 - Diagnosis,4,camera,"Side-by-side arm-action breakdown — Bauer's elite external-rotation-to-internal-rotation transition and how the trunk pulls the arm into layback rather than the arm pushing. Notes the scap-load disconnect to watch for.",1 video,Trevor Bauer YouTube (Arm Action Mechanics),https://www.youtube.com/watch?v=3KyaEXCR-vg,,Phase 4,4,"Whip-vs-push reference. relevance: models the trunk-pulls-arm spiral that replaces Landon's push arm action",1
SPIN AXIS EXPLAINED — Bauer's Arsenal,Release,1 - Diagnosis,3,"Rapsodo, baseballs","Breakdown of how spin axis determines pitch movement, using Bauer's arsenal — the conceptual basis for designing release and finger drive.",1 video,Trevor Bauer-focused YouTube (Spin Axis Explained),https://www.youtube.com/watch?v=6OQV9jOagOg,,Phase 5,3,"Concept primer. relevance: secondary for Landon — supports release-off-the-fingers and spin-axis goal once the front side is fixed",1
Spin Rate Part II: Spin Axis & Useful Spin,Release,1 - Diagnosis,2,Trackman / Rapsodo (concept),"A stable spin axis and high useful/true spin are the most vital pieces of a pitcher's effectiveness; defines spin axis and useful spin.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2016/11/spin-rate-part-ii-spin-axis-useful-spin/,,Phase 5,4,"Pitch-design fundamentals. relevance: secondary goal — release-off-the-fingers and spin axis for refining Landon's 4-seam/slider once mechanics improve",1
Mastering the Axis of Rotation (Spin Axis 3D),Release,1 - Diagnosis,3,Trackman / Rapsodo (concept),"Thorough review of spin axis in three dimensions and spin efficiency — what percentage of imparted spin produces movement, and how coaches use it for pitch design.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2019/09/mastering-the-axis-of-rotation-a-thorough-review-of-spin-axis-in-three-dimensions/,,Phase 5,4,"Deep spin-axis / pitch-design reference. relevance: supports release/finger-drive refinement and slider shape (P4, secondary for Landon)",1
Optimizing Breaking Ball Shape (Data-Driven Pitch Design),Release,1 - Diagnosis,3,"Edgertronic, Trackman (concept)","Tradeoffs between adding sweep (lose velo) vs adding velo (lose depth/spin efficiency) when designing a breaking ball; data-driven slider/cutter shaping.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2021/09/optimizing-breaking-ball-shape-through-data-driven-pitch-design-part-one/,,Phase 5,4,"Slider/breaking-ball design. relevance: directly applicable to refining Landon's slider via release and spin efficiency (secondary goal)",1
Trevor Bauer Pitch Grips,Release,3 - Loading,3,baseballs,"Bauer demonstrates his grips and the finger placement / pressure that shapes spin axis on each pitch.",1 video,Trevor Bauer YouTube (Pitch Grips),https://www.youtube.com/watch?v=aP4L0JOyLps,,Phase 6,2,"Grip/finger reference. relevance: finger-placement detail for Landon's slider/changeup — lowest priority, release-tier only",1
Trevor Bauer Pitch Design,Release,3 - Loading,4,"high-speed camera, Rapsodo, baseballs","Bauer walks through his pitch-design process including high-speed video of how he actually releases the ball — finger pressure, axis, and release point tuning.",1 video,Trevor Bauer YouTube (Pitch Design),https://www.youtube.com/watch?v=UmSMSEdyNVU,,Phase 6,3,"Finger-drive detail. relevance: trains release-off-the-fingers (Landon P4) — apply only after the front-side/separation fixes hold",1
Daily Weighted Ball / Plyo Routine (Bauer),Velocity / CNS,3 - Loading,3,"plyo balls (3-6oz), wall","Full walkthrough of Bauer's daily plyo sequence (pivot pickoffs, reverse throws, and progressions) used for arm care, mechanics grooving, and arm-speed development.",~15-20 min routine,Trevor Bauer feature (Baseball 401 — Daily Weighted Ball Routine),https://www.youtube.com/watch?v=VIDd2yMSSnY,,Phase 4,4,"Frame as conservative — keep weights light. relevance: provides a low-stress arm-speed routine that respects Landon's flexor-pronator history",1
Plyo Ball Routine — Warmup Progression,Velocity / CNS,2 - Pattern,2,"Plyo Balls (450g-2kg heavy, 150g-450g medium, 100g-225g light), wall","Three-round constraint warmup: Round 1 heavy balls (450g-2kg) at 25-50% intent, Round 2 medium (150g-450g) at 50-75%, Round 3 lightest (100g-225g) at 50-75%. Sub-max constraint work every throwing day; never max intent.",3 rounds x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Daily sub-max constraint routine; lightest 100g ball ~3.5oz underload CNS work is Landon-appropriate. 2kg/1kg heavy plyos are HEAVY but used at low intent for pattern, not max-intent overload. Lower-intensity variants folded here from same source: Recovery-Day Plyo (50-60% intent, light 100-225g balls only) and In-Season Pre-Game Plyo (controlled-intent prime, https://www.youtube.com/watch?v=V5ACgxa-tXk). relevance: low-stress daily pattern work for staying closed + arm path without medial-elbow load",1
5 Drills To Throw Harder w/ Trevor Bauer,Velocity / CNS,2 - Pattern,3,plyo balls,"Five-drill velocity circuit demonstrated by Bauer — constraint and plyo-ball drills targeting sequencing, separation, and arm speed.",5 drills,Trevor Bauer YouTube (5 Drills To Throw Harder),https://www.youtube.com/watch?v=3BtSi8c3evM,,Phase 4,4,"Use the separation/sequencing drills first for Landon. relevance: several drills target staying-closed and hip drive; skip any max-intent pulldown elements this year",1
3 Drills To Throw Harder By Transferring Energy,Velocity / CNS,3 - Loading,3,"plyo balls, baseball","Three transfer-of-energy drills chaining ground force -> hip rotation -> braced front leg -> trunk -> arm; loaded but sub-max constraint progression into throwing.","3 drills, 6-8 throws",Tread Athletics YouTube,https://www.youtube.com/watch?v=rsPBZZly-6M,,Phase 4,4,"relevance: trains the full energy transfer Landon loses; keep intent sub-max + balls <=6oz given conservative-load year",1
Are Rotational Medicine Ball Throws the Key to Pitching Velocity?,Velocity / CNS,3 - Loading,3,medicine ball (rotational),"Rotational med-ball throws (scoop/shotput/side) that correlate with throwing velocity; transverse-plane rotational power for hip-led sequencing.",3 x 5 each side,Tread Athletics blog,https://treadathletics.com/rmbt/,,Phase 4,4,"relevance: builds rotational CNS/power for hip-shoulder separation; underload/med-ball is arm-stress-safe for Landon's elbow history",1
Velocity-Based Training for Baseball Athletes,Velocity / CNS,3 - Loading,3,"Barbell, VBT device (concept)","Velocity-based training in the weight room — using bar-speed feedback to autoregulate power/strength work that underpins throwing velocity.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2017/04/velocity-based-training-for-baseball-athletes/,,Phase 4,3,"Weight-room velocity development; Landon is an advanced lifter so this is high-leverage. relevance: builds the power base for arm speed without throwing-side medial-elbow stress",1
Building Arm Strength | Tips with Trev Ep 18,Velocity / CNS,3 - Loading,3,"plyo balls, weighted balls","Bauer on how he builds arm strength and why sequencing matters — the plyo/weighted-ball progression that develops force without breaking down the kinetic chain.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 18),https://www.youtube.com/watch?v=lw_1EvrcW-M,,Phase 5,4,"Sequencing emphasis is the key takeaway. relevance: arm-strength + sequencing supports the pelvis-trunk-arm order Landon needs to restore",1
13 Tips for Mighty Elbows and Wrists (article),Velocity / CNS,1 - Diagnosis,2,"dumbbells, soft tissue tools","Cressey's elbow/wrist durability tips: wrist flexion/extension, pronation/supination, radial/ulnar deviation, grip, and soft-tissue work on the flexor mass; balance the forearm musculature.",reference read,Eric Cressey,https://ericcressey.com/13-tips-for-mighty-elbows-and-wrists/,,Phase 3,4,"Train all forearm actions + soft tissue the flexors. relevance: directly addresses Landon's flexor-pronator / medial-elbow durability — the conservative-load non-negotiable",1
Banded Pronation (flexor-pronator activation),Velocity / CNS,3 - Loading,2,resistance band,"Elastic-band resisted forearm pronation; research-validated to selectively activate the flexor-pronator mass that dynamically stabilizes the elbow against valgus.",3 x 12-15 each arm,Eric Cressey,https://ericcressey.com/everything-elbow/,,Phase 3,4,"Pronation under band load lights up the flexor-pronator mass. relevance: builds the dynamic valgus stabilizer protecting Landon's medial elbow — his primary injury risk",1
Banded Ulnar Deviation (FCU emphasis),Velocity / CNS,3 - Loading,2,resistance band,"Resisted ulnar deviation targeting flexor carpi ulnaris, the biggest dynamic protector of the UCL during throwing.",3 x 12-15 each arm,Eric Cressey,https://ericcressey.com/everything-elbow/,,Phase 3,4,"FCU is the #1 dynamic protector of the UCL. relevance: strengthens the exact muscle that mitigates medial-elbow gapping for Landon's flexor-pronator history",1
Palmar Fascia / Forearm Flexor Soft-Tissue Work,Velocity / CNS,2 - Pattern,1,"lacrosse ball or massage tool","Self soft-tissue work on the palmar fascia and anteromedial forearm flexors to manage tissue quality; pair with Graston/ART-style work for symptomatic elbows.",1-2 min each arm,Eric Cressey,https://ericcressey.com/mobility-exercise-palmar-fascia-soft-tissue/,,Phase 3,3,"Keep the flexor mass supple — forearm tightness is the warning sign. relevance: tissue-quality maintenance on the flexor-pronator mass; forearm tightness is Landon's documented early warning",1
Comparing Overload vs. Underload Weighted Ball Stress,Velocity / CNS,3 - Loading,3,Weighted balls (3oz underload to 9oz overload),"Research article: insufficient evidence that under- or over-load implements are more stressful than a 5oz ball at max effort. Underload moves the arm faster with less force; overload slower with more force. Driveline rarely exceeds 9oz overload, never below 3oz underload.",reference read,Driveline Blog (Research),https://www.drivelinebaseball.com/2017/03/comparing-overload-vs-underload-weighted-ball-stress-on-the-arm/,,Phase 5,4,"year-2 / not-now for the overload (7-9oz) side. Underload 3-4oz is Landon-appropriate. relevance: justifies using 3-4oz underload for arm speed while deferring 7oz+ overload due to flexor-pronator history",1
Optimizing Catch-Play | Tips with Trev Ep 10,Velocity / CNS,3 - Loading,2,baseballs,"Bauer on making every catch-play throw intentional — using catch and long toss to reinforce mechanics and build arm strength rather than just warming up.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 10),https://www.youtube.com/watch?v=UvAVVakOcxk,,Phase 4,3,"Intent-with-restraint framing. relevance: turns catch-play into mechanics reps for Landon without adding max-effort load",1
Hybrid B Plyo Day,Velocity / CNS,3 - Loading,3,"Plyo Balls (mixed), wall","Medium-effort plyo throwing day at ~70% intent (Hybrid B). Adds force to the constraint patterns without reaching max intent.",2-3 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 5,3,"Hybrid B = 70% intent. Acceptable mid-progression intensity. relevance: graded force progression onto the staying-closed/rotation patterns once base is built",1
Long Toss Mechanics (SI feature),Velocity / CNS,3 - Loading,3,baseballs,"Bauer's long-toss philosophy — pull-down arc and how stretching out the throw reinforces a connected, whip-like arm action and arm strength.",progressive distance,Trevor Bauer (SI long toss feature),https://www.si.com/edge/2015/04/15/training-with-trevor-bauer-cleveland-indians-long-toss,,Phase 5,3,"Cap intent in the build year. relevance: long toss builds arm strength + connection; defer the aggressive pull-down phase to Phase 6 per conservative load",1
Weighted-Implement 6-Week Program Study (PeerJ),Velocity / CNS,3 - Loading,4,"Weighted balls, motion capture","Open-access peer-reviewed study (PeerJ 2018, PMC6254244): 17 collegiate/pro pitchers, 6 weeks of weighted-implement throwing. Internal-rotation velocity rose significantly; no group velocity change; documents arm-stress/ROM changes.",reference read,Open-Access Research (PMC),https://pmc.ncbi.nlm.nih.gov/articles/PMC6254244/,,Phase 5,5,"year-2 / not-now — protocol involves max-intent weighted-ball throwing and 2-7oz implements. relevance: evidence base for weighted-ball arm-speed work; informs a conservative version (underload only) for Landon",1
Bauer Training Regimen at Driveline,Velocity / CNS,3 - Loading,4,"plyo balls, weighted balls, shoulder tube","Behind-the-scenes of Bauer's Driveline training — plyo sequence, weighted balls, shoulder-tube arm care, and how the constraint drills feed into his bullpen work.",routine,Trevor Bauer feature (Driveline training regimen),https://www.youtube.com/watch?v=p5rg6b2Am-U,,Phase 5,3,"Context for the full system. relevance: shows how pattern drills load into transfer; de-prioritize the max-intent portions for Landon",1
Hybrid A Plyo Day,Velocity / CNS,3 - Loading,4,"Plyo Balls (mixed), wall","High-effort plyo throwing day reaching up to 90% intent (Hybrid A). Highest-intent plyo day short of true velocity days.",2-3 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 6,3,"Hybrid A reaches ~90% intent — year-2 / not-now for Landon's conservative year; defer sustained 90% intent to Phase 6+. relevance: high-intent transfer of pattern, hold until medial elbow proven durable",1
Preparing For a Start | Tips with Trev Ep 9,Velocity / CNS,4 - Transfer,2,"baseballs, plyo balls","Bauer's pre-start routine — how he ramps the throwing/plyo work and dials in mechanics before competition.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 9),https://www.youtube.com/watch?v=mhmj5AfX0K0,,Phase 5,3,"Routine/transfer context. relevance: shows how to carry drill-built mechanics into a start without reverting to the push pattern",1
Breaking Down Your Mechanics | Tips with Trev Ep 1,Diagnostic,1 - Diagnosis,1,camera (240fps),"Bauer shows how he films and analyzes his own delivery frame-by-frame to identify flaws — the self-assessment workflow that precedes any drill prescription.",1 video,Trevor Bauer YouTube (Tips with Trev Ep 1),https://www.youtube.com/watch?v=nl_bZFg_Dg4,,Phase 3,3,"Diagnostic foundation. relevance: gives Landon the film workflow to confirm front-side-fly-open and back-hip-leak on his own 240fps video",1
Seated Trunk Rotation Test,Diagnostic,1 - Diagnosis,1,"chair, goniometer or dowel","Sit tall, dowel across shoulders, rotate trunk each direction; minimum standard is 45 degrees per side. Pitchers with less than 45deg to the throwing side compensate with lumbar rotation or scap protraction.",2 x slow each side,Eric Cressey,https://ericcressey.com/normal-thoracic-spine-mobility/,,Phase 3,4,"Assess T-spine rotation before prescribing. relevance: a sub-45deg deficit forces the trunk to fly open instead of separating, so this is the gate test for Landon's staying-closed / separation prerequisite",1
Measuring Hip Internal Rotation (seated 90/90 test),Diagnostic,1 - Diagnosis,1,table or bench,"Sit at edge of table, hips/knees at 90, internally rotate the femur without letting the hip hike. Compares lead-leg HIR to back-leg HIR; a lead-leg deficit is common in pitchers with elbow/shoulder pain.",2 x each hip,Eric Cressey,https://ericcressey.com/measuring-hip-internal-rotation/,,Phase 3,4,"Identifies hip IR deficit (HIRD). relevance: lead-leg HIR deficit makes the front hip open early and the lead leg land open — the root of Landon's lost separation window",1
Flexibility Deficits in Pitchers (assessment overview),Diagnostic,1 - Diagnosis,1,none,"Cressey's catalog of the key pitcher deficits: lead-leg hip internal rotation deficit, hip extension deficit, GIRD, and T-spine restriction. Frames which limitations force mechanical compensations.",reference read,Eric Cressey,https://ericcressey.com/flexibility-deficits-in-pitchers/,,Phase 3,5,"When front hip opens too soon from muscular restriction, the arm lags out of the scapular plane. relevance: maps Landon's whole fault chain (early front side, push arm) to specific physical deficits to screen",1
Hip-Shoulder Separation Explained in 90 Seconds,Diagnostic,1 - Diagnosis,1,none,"Defines separation as the pelvis and trunk separating: created by the pelvis rotating under a neutral trunk, the trunk counter-rotating, or both. Conceptual diagnostic.",1 video,Tread Athletics (TikTok / @tread_athletics),https://www.tiktok.com/@tread_athletics/video/7509511371269147947,,Phase 3,3,"relevance: gives Landon/coach the model for what separation should feel like before drilling it",1
Understanding Elbow Pain - Functional Anatomy (article),Diagnostic,1 - Diagnosis,2,none,"Cressey on the common flexor tendon anatomy (FCR, FCU, palmaris, FDS, pronator teres) and how the flexor-pronator mass dynamically stabilizes the elbow against valgus load.",reference read,Eric Cressey,https://ericcressey.com/understanding-elbow-pain-part-1-functional-anatomy/,,Phase 3,4,"The flexor-pronator mass is the dynamic valgus stabilizer of the elbow. relevance: explains WHY pronator/flexor strengthening protects Landon's medial elbow — the rationale for the durability block",1
How Does Hip Anatomy Affect Your Ideal Mechanics?,Diagnostic,1 - Diagnosis,2,none,"Explains how individual hip anatomy (femoral version, range) shapes ideal stance/rotation, so cueing 'stay closed' and hip rotation is individualized rather than one-size-fits-all.",reference read,Tread Athletics blog,https://treadathletics.com/how-does-hip-anatomy-affect-your-ideal-mechanics/,,Phase 3,3,"relevance: ensures Landon's stay-closed/hip-rotation targets are matched to his hip anatomy before loading the block",1
